stuff,Unnamed: 1,Linux-Resnet50-9train_acc,Linux-Resnet50-9valid_acc,Linux-Resnet50-9train_loss,Linux-Resnet50-9valid_loss
,,0.6002501563477173,0.6823014383989994,0.674356497824192,0.6818720304965973
,,0.6811757348342714,0.6823014383989994,0.6367570757865906,0.6718700608611107
,,0.6820512820512821,0.6823014383989994,0.6082193329930305,0.6719222649931907
,,0.6875547217010631,0.6823014383989994,0.5773488879203796,0.6768570598959923
,,0.7070669168230144,0.6823014383989994,0.5380088984966278,0.6816183450818062
,,0.7624765478424015,0.6823014383989994,0.516576886177063,0.6853767400979995
,,0.7909943714821763,0.3176985616010006,0.5088598690927029,0.6985646173357963
,,0.7932457786116323,0.3176985616010006,0.499101173132658,0.7073772072792053
,,0.800375234521576,0.6823014383989994,0.4911290742456913,0.6827821969985962
,,0.7972482801751094,0.6823014383989994,0.4873263835906982,0.6847415354847908
