stuff,Unnamed: 1,Linux-Resnet152-3train_acc,Linux-Resnet152-3valid_acc,Linux-Resnet152-3train_loss,Linux-Resnet152-3valid_loss
,,0.6500312695434647,0.6823014383989994,0.9874950249989828,0.6451085838675499
,,0.7013133208255159,0.6823014383989994,0.8538843525780572,0.6251381538808346
,,0.7081926203877423,0.3176985616010006,0.6076815090482197,0.8293390470743179
,,0.7024390243902439,0.6823014383989994,0.6471620589967758,0.6805099307000637
,,0.7814884302689181,0.3233270794246404,0.488484279503898,1.638038758635521
,,0.7747342088805503,0.6823014383989994,0.4916480008571867,0.7611569660156965
,,0.7769856160100063,0.6823014383989994,0.4963308232171194,0.7362809131294489
,,0.7619762351469669,0.3514696685428393,0.5225485809265621,0.786698953807354
,,0.757848655409631,0.7642276422764228,0.5323707707344539,0.543277103304863
,,0.7856160100062539,0.7367104440275172,0.4844106870984274,0.54240034930408
,,0.7544715447154472,0.6823014383989994,0.5609393540828947,0.6347981730103492
,,0.6811757348342714,0.6823014383989994,0.6628784584620643,0.6601542487740517
,,0.6878048780487804,0.3176985616010006,0.6185609036021762,0.7033660331368446
,,0.6711694809255785,0.6823014383989994,0.7105040124484471,0.6342333547770977
,,0.5437148217636022,0.3176985616010006,29.427898267431864,68.23214286804199
,,0.3179487179487179,0.3176985616010006,68.10011436825707,68.23214286804199
,,0.3179487179487179,0.3176985616010006,68.18713003491598,68.23214286804199
,,0.3179487179487179,0.3176985616010006,68.18713003491598,68.23214286804199
,,0.4796747967479675,0.6823014383989994,38.584352162149216,0.6251072506606579
,,0.6995622263914947,0.6823014383989994,0.5908971655936468,0.6406233114004135
